discrete,discrete,continuous,continuous,discrete
4,3,53,58,3
3,2,43,-3,4
2,2,2.5,99,3
2,2,-12.25,134.583333333,3
3,2,42.5,25,3
5,2,36.5,74.5,5
1,1,-27.9166666667,153,3
1,2,1.08333333333,-70,2
3,1,33.3333333333,-93.5,5
3,1,33.5,-116.25,4
3,2,1.16666666667,-77,3
2,2,5.5,-56,2
2,1,-12,-74,4
3,1,0.666666666667,-79,4
2,1,34,-88,4
3,1,32.3333333333,-115,4
3,2,13.45,144.75,3
1,2,35.5,-83.5,1
2,2,67,-173,2
4,1,46.5833333333,-123,5
5,2,59,-106,5
4,3,17.5833333333,-96.6666666667,3
3,1,-23.5,-60.5,4
3,3,55.5,47.5,2
3,3,12,105.5,2
3,2,-6,22,3
3,2,17.3333333333,-95.9166666667,3
1,2,33.5,-101.5,1
1,3,-7,-45,1
3,3,23,113,2
4,2,0.166666666667,-77.1666666667,4
5,2,43.5,-124.166666667,5
1,1,54,-110,2
2,2,16.25,-97.3333333333,3
3,2,23.3333333333,93.6666666667,3
3,3,41.75,2,3
1,2,1.33333333333,-70.5,1
1,2,-6.11666666667,145.116666667,2
2,3,-13.5,-65.5,2
1,2,-6.55,144.583333333,2
1,2,-10,149.333333333,2
5,2,-2.33333333333,40.5,5
3,3,7.5,-8,1
4,2,24,84,4
3,2,12.25,25.25,3
1,2,-3.58333333333,141,2
5,2,-20.5,24.5,5
3,2,9.58333333333,-0.5,4
3,3,48,124,3
3,2,32.6666666667,-116.166666667,4
3,3,8.5,28,3
3,3,13,-16.25,1
3,1,-28,139,5
3,2,6.16666666667,36.5,3
3,1,-12.6666666667,136,5
1,3,-4.33333333333,138.833333333,1
3,3,12.1666666667,18.3333333333,3
3,3,27,109,3
3,3,8.66666666667,13.0833333333,3
4,3,-21,167.25,3
2,3,14.4166666667,-3.25,2
1,3,-2.68333333333,141.3,1
1,1,-17.8333333333,145.583333333,3
1,3,4.91666666667,8.5,1
3,3,5.41666666667,8.66666666667,3
1,2,-3.83333333333,135.5,1
3,3,52,0,1
2,3,3,-77,2
2,2,56,125,3
2,2,68,130,3
4,3,6.33333333333,0.416666666667,3
4,3,4,12,3
4,1,60.5,-145,5
1,2,-6.58333333333,143.333333333,2
2,3,5.25,10.1666666667,2
3,2,-17.8333333333,178,3
2,3,62,25,2
3,3,48,2,1
3,3,-8,-37.5,3
2,2,13.5,25,2
1,3,26,119.5,2
5,2,9.58333333333,9.33333333333,5
4,3,5.66666666667,-0.166666666667,3
3,3,12,92.6666666667,3
2,2,25.6666666667,90.5,3
4,3,6.66666666667,17.5,3
1,1,-6.25,146,3
4,2,42,44,4
3,3,52,10,1
2,2,5,-69,3
4,3,22.9166666667,105.5,3
2,2,2.5,-76.6666666667,3
1,2,12,-72,3
3,1,-18.3333333333,126.333333333,4
3,3,5,-8,2
3,2,39,22,3
3,1,-17.0833333333,137.166666667,4
3,1,64,-51,4
2,2,-26,-56,3
3,2,9.5,7,3
5,2,-3.75,35.1666666667,5
5,1,53,-132,5
2,2,25,116,3
1,3,-7.5,146.25,1
4,2,12,7,4
1,2,19.5833333333,-155.5,1
2,2,31.75,35.1666666667,3
5,2,25,77,4
2,2,-1,-59,3
5,2,28,105,5
3,2,5,36.5,4
3,2,25,118,3
3,2,36,-110,3
3,2,22.0833333333,-99.3333333333,3
2,2,-1,-73.5,2
4,3,47,20,3
4,1,41.0833333333,-123.666666667,5
3,2,16.2166666667,-95,3
5,3,42.1666666667,46.25,3
5,3,-20.4166666667,166.583333333,3
3,2,2,112,3
4,3,6,7.33333333333,3
3,1,-15.1666666667,-65.4166666667,4
3,2,11.5,34,3
3,3,4.91666666667,5.66666666667,2
4,3,3.75,34.1666666667,3
2,3,10.6666666667,-73.75,2
1,3,-3.33333333333,141.166666667,1
3,2,0,106,3
5,2,43.1666666667,45.0833333333,5
5,2,55,-8,4
4,2,-4,35.5,5
1,3,-3,133.5,1
3,2,-13,-58,3
4,3,5.5,6.25,3
4,2,57,157.5,4
3,2,-12.8333333333,-64.3333333333,3
3,1,20.5,122,4
1,2,-4.33333333333,142,1
4,2,15.6666666667,-91.6666666667,4
5,1,-13,-76,5
3,3,-7,111,2
3,1,-5.41666666667,-76.5,4
5,3,15.1666666667,107.833333333,3
2,1,-2.5,-78,3
3,2,25.4166666667,97,4
1,3,10.5833333333,30.5,1
2,2,37,140,3
1,2,10.5,-73,1
5,2,-19,21,5
5,1,43.5,43.5,5
3,2,11,29.6666666667,3
5,2,35.5,72.5,4
4,3,34,76,3
2,1,-17.05,139.5,4
2,2,17,-3,3
2,2,-8.25,123.75,2
3,2,7.25,36.25,3
3,2,16,-89.8333333333,3
3,2,9.83333333333,15.0833333333,3
2,3,64,87,2
2,2,-6.5,143.833333333,3
2,3,14.25,-0.916666666667,1
3,1,-21,139.5,5
3,3,42,75,3
3,3,47,105,2
3,3,12.5,105,2
4,2,-25.5,18,4
4,2,22.5,84.3333333333,4
3,2,25.5,92,3
3,2,37,-99,3
1,2,-8,143.5,2
3,3,15.25,74,2
2,2,-5.58333333333,149.666666667,3
1,3,4.75,-8.75,1
4,1,42.5,-121.5,5
3,2,-8.5,151.083333333,3
2,2,-10.1166666667,142.116666667,3
2,2,-8,146.833333333,3
3,3,21,102,2
4,2,14,76,2
1,3,-26,-52,1
3,2,10,12,3
3,2,14.5,37,3
3,3,12,13,3
1,1,34.8333333333,-85.1666666667,4
3,3,-5.16666666667,144.333333333,2
4,3,6,8.11666666667,3
1,2,-9.5,147.333333333,2
3,3,8.75,33.75,3
3,3,37.5,128,2
3,2,11.5,77.1666666667,4
3,2,17.5,81.3333333333,3
3,2,7.58333333333,10.1666666667,4
3,3,7,-10,3
1,2,1.33333333333,173,1
4,3,36,44,3
2,2,41.6666666667,-123,3
3,3,10.5,30,2
2,2,61,167,3
2,2,16,0,3
4,3,18,97,3
2,3,8.5,-10.25,2
4,3,11.3333333333,15.3333333333,3
2,2,65,65,3
3,2,6.75,37.0833333333,4
2,2,8,-77.3333333333,2
3,2,22.8333333333,85.5,3
4,1,49.5,-116,5
2,2,-8.95,161,3
5,2,51,-127,5
3,3,-4.16666666667,142.75,3
3,2,36,-117.5,3
1,1,-16,145,3
3,3,19,97.5,1
4,3,65,55,3
4,2,34,78,5
4,3,20,98.1666666667,3
5,1,42.1666666667,47.1666666667,5
4,2,9,14.5,4
2,3,2.16666666667,33,1
4,2,57,24,3
2,2,-9.08333333333,159.2,3
2,2,-19.45,169.25,2
4,3,27.1666666667,88.5,3
5,2,41.6666666667,47.8333333333,5
5,2,55,24,4
4,2,24.0833333333,110.166666667,4
3,2,43.8333333333,-101.833333333,4
3,3,7.33333333333,0.5,3
3,3,22,100.666666667,2
3,3,9.75,17.75,3
4,3,3.08333333333,30.9166666667,3
3,2,33.3333333333,-117.166666667,3
4,3,-0.5,34.75,3
5,1,48,-122,5
2,2,-12,22,3
3,3,-3,36,2
3,3,13.75,20.8333333333,3
4,1,-20,47,5
1,2,-40,176,1
3,2,-38,-72,3
3,2,33.1666666667,-113.166666667,4
2,2,-11.9166666667,133.5,3
1,2,-18,-40,1
1,2,-1.33333333333,132.5,2
5,1,19.4166666667,-99.9166666667,5
3,3,1,25,3
3,1,-17.1666666667,145,4
3,2,24.75,94,3
3,2,36,102,4
4,3,25,111,4
1,2,-13.6666666667,130,2
3,3,6.75,11.5,2
1,2,-13.4166666667,130.416666667,3
3,3,57,48,3
2,2,49.5,127.5,3
3,2,34,110,3
2,2,40,-120.666666667,3
3,2,35,62,4
1,2,-2.95,135.75,3
2,2,-13.8333333333,-65.6666666667,3
3,1,-14.6666666667,129.666666667,4
2,2,-7.83333333333,140.166666667,3
4,1,11,13,5
3,3,6.5,33.5,2
1,1,7.83333333333,124.25,3
3,3,11,30.1666666667,3
3,1,-20.8333333333,116.5,5
2,2,37.5,-120,2
1,3,17.25,-96,1
3,2,-1,-72.5,3
3,2,9,11.6666666667,3
4,2,23,84.6666666667,4
2,2,17.05,-97.5833333333,3
2,2,17,-97.5833333333,3
1,2,-1.25,130.916666667,3
2,2,-14.6666666667,133.5,3
3,2,17.75,-96.9166666667,3
2,2,49.5,137,3
1,3,0.25,35,1
3,2,38,47,4
3,2,15.0833333333,37.5833333333,3
1,2,-6.33333333333,155.583333333,1
4,1,36.1666666667,-108,5
5,3,27.5,100,3
4,3,-10.7833333333,165.866666667,3
4,3,14.9166666667,-16.9166666667,3
2,2,4.5,-54.5,3
4,2,28,85,4
3,1,27.6666666667,85.5,4
4,2,46,-116,4
3,3,71,93,2
5,2,12.0833333333,10.9166666667,5
2,1,20,-98.25,3
2,2,19.6666666667,-99,3
1,2,-2.5,140.166666667,1
2,3,27.5,93.5,2
4,2,53.3333333333,142,4
3,2,-0.916666666667,29.8333333333,3
4,3,15.6666666667,101.666666667,3
3,2,-14,-59.5,4
2,3,8.05,93.5,2
2,2,21,31,3
3,3,6.41666666667,10.5833333333,2
3,3,61,8,2
5,3,1.33333333333,30.25,4
4,2,70,76,4
3,1,-13.75,135.666666667,4
3,2,21.9166666667,106.416666667,3
5,1,49.6666666667,-126.666666667,5
2,3,3.41666666667,33.5833333333,1
2,3,12.1666666667,29.3333333333,2
4,2,-2.75,-71.75,4
3,3,4.66666666667,6.25,2
2,1,46,-80,3
1,1,43,-75.6666666667,2
3,2,32,-112,3
4,2,9,42,4
3,2,32.5,69.75,3
3,3,20.1666666667,-99.1666666667,3
3,3,16.4166666667,107.083333333,1
5,1,2.66666666667,-76,5
3,1,22.5,120.833333333,4
3,1,-6,-64,5
1,2,-7,145.083333333,2
2,2,15,-85.5,3
3,3,15,99,3
2,1,-26,130,4
2,2,-16.5,168.25,3
1,3,6.5,-66,1
2,3,-20.6666666667,164.833333333,1
1,3,6.88333333333,158.25,1
5,2,52,20,4
1,1,-7,-62,2
3,2,32,54,3
4,2,33,67,4
2,2,45,-67,3
4,2,39,-122.5,4
5,3,23.25,99.5,3
4,2,19.5,-101.666666667,4
3,1,-49,-75,5
4,2,-17.5,-66,4
4,1,47.9166666667,-124.25,5
2,1,11.75,-83.75,4
1,2,-27.1166666667,-109.366666667,2
4,2,-2.41666666667,-71.5,4
3,3,46,25,3
1,2,-8.75,146.583333333,1
3,2,46.75,9.5,4
1,2,-6,155.166666667,1
3,1,22.8333333333,120.833333333,4
4,2,56,38,5
5,2,41.5,47.4166666667,5
3,3,3.66666666667,115.666666667,2
4,3,5,18,3
3,2,6,-70,3
5,2,64.6666666667,16.75,5
5,3,26,69,4
5,2,-5,35,5
1,2,1.33333333333,34.5833333333,2
5,3,14.8333333333,108,4
3,1,-53,-70,5
3,2,22,98,3
1,2,3.5,-62.8333333333,2
2,1,-7.5,-75,3
2,1,41.8333333333,-122.666666667,3
5,2,52,-120,4
2,2,0.333333333333,-76.25,3
2,3,65,82,1
4,2,67,-125,4
2,2,-6.16666666667,147.166666667,2
4,3,3,103,3
1,2,42.5,-77.5,1
3,3,9.5,-6.25,3
3,3,7,80.5,3
1,3,4.5,-64.6666666667,1
1,3,-2.58333333333,140.583333333,1
3,3,3,45,2
4,2,12.5,54,4
2,2,20,84.3333333333,3
3,2,40,-4,3
5,1,49.6666666667,-123.166666667,5
4,3,11.5,108,3
3,3,-15.5833333333,-64,2
1,2,-7.75,147.55,2
5,3,26,107.5,5
3,3,11.5,-5.58333333333,3
2,2,-9.13333333333,159.8,3
4,2,-6.5,39,4
2,2,0,127.5,3
2,1,-13.5,-68,4
2,2,15,121,3
3,2,27.5,85.666666666667,3
4,1,-48,-68,5
4,2,16,79,4
5,2,11,11.8333333333,5
1,2,-2.71666666667,150.8,2
4,2,16.5,38.5,4
3,3,16,101,2
5,3,30,91,3
2,2,-4,-70.5,3
3,1,-11.5,131,4
3,3,-2.33333333333,14.5,3
5,1,59,-135,5
3,3,14.5,22,2
2,3,11.9166666667,29.4166666667,2
3,3,10.4166666667,-0.583333333333,2
2,3,8.66666666667,-13.0833333333,2
1,2,-8.33333333333,146.25,1
4,2,9,10.0833333333,3
3,2,14.6666666667,-87,3
2,2,30.25,-96.75,3
2,1,20.3333333333,-97.3333333333,4
3,2,-11.9166666667,-53.5833333333,3
2,2,6.75,124.166666667,2
2,1,6,121,4
5,1,52.5,-129,5
2,2,23.5,120.75,3
1,2,-9,126,2
5,2,42.5,45.5,5
3,3,23,6,3
3,2,-5.5,123.5,3
3,3,12.75,75.3333333333,3
2,3,32.6666666667,-91,2
3,3,39,35,3
3,3,52,95,2
4,2,36.5,-105.5,3
3,2,16.4166666667,-92.5,4
3,2,-12.5,15,3
3,3,-4.66666666667,140,2
2,2,-16.3333333333,126,3
2,2,-2.33333333333,-46.5,2
1,2,-4.83333333333,145.166666667,2
3,2,40.6666666667,66.5,3
3,3,10.5,106.5,1
2,2,-5.83333333333,144.716666667,3
2,1,-18.6666666667,135.75,4
4,2,38.5,-122.5,4
2,2,-11.3333333333,-65,2
3,2,-22.5,-62.5833333333,3
2,1,-30.5,132,4
3,1,33.3333333333,-97.3333333333,3
4,2,41,-122.5,4
3,2,40.8333333333,-124.166666667,4
4,3,15.25,-16,3
2,2,0.5,127.583333333,3
1,2,-13.9166666667,141.75,2
2,3,-6.16666666667,146.5,2
2,3,-8.25,124.833333333,1
2,1,2.66666666667,-60,3
1,2,9.33333333333,-61.6666666667,2
2,2,-15.5,131,3
1,3,-3.16666666667,141,1
2,2,-13.1666666667,131.25,3
3,3,31.6666666667,119.916666667,3
5,2,-24,21.5,5
1,2,-3.5,-72,1
3,2,40.5,-122,3
3,3,9.58333333333,138.166666667,3
2,2,27.5,-110.25,3
1,2,-9.5,148.5,2
1,2,-1.75,136.25,3
3,2,22.4166666667,104.75,3
2,2,-0.75,-71,3
3,2,20,-89,3
5,3,-11.3666666667,154.166666667,4
2,1,-4.16666666667,142.583333333,3
5,2,-20,23.5,5
1,2,-6.33333333333,145.416666667,3
1,1,-17,145.75,3
1,1,-4.66666666667,143.55,4
3,2,65.75,150.833333333,3
3,3,62,130,2
4,1,-16.4166666667,137.166666667,5
2,3,8,4.33333333333,2
3,2,69,155,3
5,2,35.75,-86.75,4
5,3,8.5,25.25,4
4,2,41.3333333333,-124,4
4,1,65,-173,5
3,3,4,26,3
2,2,17,-93.25,2
4,2,-30,30,5
3,2,35.0833333333,-108.833333333,3
