discrete,discrete,continuous,continuous,discrete
2,2,-29,-61,3
5,1,43.0833333333,41,5
1,1,32.3333333333,-87.4166666667,4
1,2,-25.25,-55.1666666667,2
2,2,41.5,-121,3
5,2,34.9166666667,-107.583333333,5
1,3,-0.666666666667,-72,1
2,1,-6.25,146.25,4
3,1,54.75,-164,5
4,2,30,31,4
3,3,6.66666666667,10,2
4,2,62,-145,4
3,2,-12.6666666667,-60.6666666667,3
1,2,43,143,2
3,3,5.25,-4.5,2
3,3,6.5,-1.25,2
1,3,6,-59.5,1
2,3,-4.66666666667,143.333333333,2
3,3,41,20,3
3,3,5.16666666667,-4.33333333333,3
3,1,-15.1666666667,134.25,4
1,1,-10.5,-72.5,3
2,2,-5.25,145.583333333,3
4,3,10,38,4
3,3,10.3333333333,8.66666666667,2
5,1,-24,136,5
3,1,-10.5,-75.4166666667,5
3,3,16.8333333333,-98,3
3,1,-12.3333333333,-67.75,4
4,3,9.5,9.5,4
5,2,-18.9166666667,21.9166666667,5
1,2,-7.21666666667,146.25,1
1,2,26.5833333333,94.6666666667,2
1,3,-5.5,-48,1
1,2,-9,-67,3
1,2,-2,-75.1666666667,2
5,2,42,46.8333333333,5
4,2,40,45,4
2,3,-3.46666666667,143.166666667,2
1,2,-5.5,138.5,1
3,2,24.5,121.333333333,3
5,2,42.5,46.5,5
4,3,10.8333333333,36.6666666667,3
1,1,1.5,-78.25,3
4,1,-17,-69,5
3,3,40.5,48.5,2
4,3,11.6666666667,16,3
2,3,26,100,1
4,2,-4.33333333333,123,3
3,3,12.5,-7.5,3
3,2,22.5,92.25,4
3,3,12.4166666666667,-4.3333333333333,3
4,1,52.5,-126.666666667,5
2,2,-3.91666666667,14.0833333333,3
3,2,18,36,3
4,3,24,90,3
3,2,10.3333333333,34.6666666667,4
3,3,6.25,-6.25,1
3,3,9.66666666667,8.83333333333,3
2,2,11.5,-0.5,3
2,3,-14,-55,2
2,3,3.25,98.25,2
4,1,33,-5,5
1,2,-4.58333333333,152,3
1,2,0.333333333333,-70.25,1
2,2,26.8333333333,92,2
3,3,14.1666666667,107.5,3
2,3,10,2.5,2
2,1,-16.5833333333,122.916666667,3
3,3,48,-3,3
3,2,28.5,67,4
2,2,9.41666666667,-83,3
4,3,21,96,3
1,3,-16,-57,1
3,3,16.75,104.75,1
